Date,AAPL,DX-Y.NYB,HSI,QQQ,XLE,XLF,XLK,XLP,XLU,XLV,^FTSE
2012-07-27,17.78716468811035,82.70999908447266,19275.0,58.610809326171875,47.367774963378906,9.763519287109375,24.864498138427734,26.754541397094727,26.418331146240234,32.54524230957031,5627.2001953125
2012-07-30,18.087173461914062,82.79000091552734,19585.400390625,58.565635681152344,47.502685546875,9.743673324584961,24.87303924560547,26.8897705078125,26.51542091369629,32.37761306762695,5693.60009765625
2012-07-31,18.565324783325195,82.63999938964844,19796.80078125,58.54754638671875,46.9832878112793,9.697371482849121,24.975465774536133,26.769563674926758,26.3004093170166,32.17645263671875,5635.2998046875
2012-08-01,18.445249557495117,83.05999755859375,19820.400390625,58.375892639160156,47.21263122558594,9.651066780090332,24.890106201171875,26.63433265686035,26.09928321838379,32.19322204589844,5712.7998046875
2012-08-02,18.475040435791016,83.33000183105469,7200.0,58.16808319091797,46.423404693603516,9.57829761505127,24.72792625427246,26.416440963745117,25.95362663269043,31.883089065551758,5662.2998046875
2012-08-03,18.715484619140625,82.37999725341797,7300.0,59.27037048339844,47.51619338989258,9.803206443786621,25.21446418762207,26.859722137451172,26.25881004333496,32.260257720947266,5787.2998046875
2012-08-06,18.923707962036133,82.2699966430664,7000.0,59.72212219238281,47.64436721801758,9.84289836883545,25.393720626831055,26.844696044921875,26.19638442993164,32.268646240234375,5808.7998046875
2012-08-07,18.873857498168945,82.20999908447266,20072.599609375,60.21906280517578,48.35939407348633,9.882584571838379,25.564434051513672,26.701948165893555,25.925893783569336,32.19322204589844,5841.2001953125
2012-08-08,18.84193992614746,82.38999938964844,7400.0,60.19196319580078,48.399871826171875,9.882584571838379,25.572969436645508,26.8897705078125,25.960559844970703,32.310550689697266,5845.89990234375
2012-08-09,18.949392318725586,82.63999938964844,7400.0,60.37266159057617,48.73039245605469,9.875970840454102,25.6583309173584,26.777084350585938,25.960559844970703,32.29378890991211,5851.5
2012-08-10,18.979005813598633,82.55000305175781,20136.099609375,60.40879821777344,48.81808853149414,9.882584571838379,25.718074798583984,26.769563674926758,26.036863327026367,32.427894592285156,5847.10009765625
2012-08-13,19.23238182067871,82.44000244140625,7300.0,60.553348541259766,48.63596725463867,9.889199256896973,25.794891357421875,26.762052536010742,26.00911521911621,32.344078063964844,5831.89990234375
2012-08-14,19.28397560119629,82.4800033569336,20291.69921875,60.580474853515625,48.548282623291016,9.875970840454102,25.743684768676758,26.86724090576172,25.981372833251953,32.427894592285156,5864.7998046875
2012-08-15,19.25772476196289,82.6500015258789,7500.0,60.73405075073242,48.54153060913086,9.909045219421387,25.752222061157227,26.882261276245117,25.856525421142578,32.50333023071289,5833.0
2012-08-16,19.425926208496094,82.36000061035156,7500.0,61.45685577392578,48.97324752807617,9.975192070007324,26.102184295654297,26.94988250732422,25.794105529785156,32.41951370239258,5834.5
2012-08-17,19.785234451293945,82.5999984741211,20116.099609375,61.72791290283203,48.95301055908203,10.008268356323242,26.247295379638672,26.972421646118164,25.72475242614746,32.25188064575195,5852.39990234375
2012-08-20,20.30542755126953,82.45999908447266,20104.30078125,61.818241119384766,48.78436279296875,10.034728050231934,26.27289581298828,26.972421646118164,25.773296356201172,32.31893539428711,5824.39990234375
2012-08-21,20.027929306030273,81.91000366210938,20100.099609375,61.57432174682617,48.62922668457031,10.067800521850586,26.102184295654297,26.8071346282959,25.58603286743164,32.20997619628906,5857.5
2012-08-22,20.418987274169922,81.48999786376953,19887.80078125,61.827301025390625,48.811363220214844,10.054573059082031,26.14486312866211,26.724491119384766,25.54442024230957,32.23513412475586,5774.2001953125
2012-08-23,20.228498458862305,81.36000061035156,7100.0,61.32134246826172,48.271697998046875,9.955352783203125,25.931467056274414,26.51411247253418,25.28086280822754,32.19322204589844,5776.60009765625
2012-08-24,20.24650764465332,81.58999633789062,7100.0,61.70082092285156,48.555030822753906,10.008268356323242,26.09364128112793,26.747028350830078,25.398759841918945,32.46980285644531,5776.60009765625
2012-08-28,20.600017547607422,81.37000274658203,19811.80078125,61.800209045410156,48.60898208618164,9.988423347473145,26.059507369995117,26.799610137939453,25.405710220336914,32.45303726196289,5775.7001953125
2012-08-29,20.55942153930664,81.55000305175781,7500.0,61.800209045410156,48.28517532348633,10.008268356323242,26.110715866088867,26.739521026611328,25.364097595214844,32.56199264526367,5743.5
2012-08-30,20.266355514526367,81.68000030517578,7500.0,61.176753997802734,47.772525787353516,9.955352783203125,25.82050132751465,26.63433265686035,25.239246368408203,32.45303726196289,5719.5
2012-08-31,20.308176040649414,81.25,19482.599609375,61.58336639404297,48.25146484375,10.02811336517334,26.025358200073242,26.64183235168457,25.211502075195312,32.553619384765625,5711.5
2012-09-04,20.605213165283203,81.31999969482422,19429.900390625,61.52012634277344,47.880455017089844,10.02811336517334,26.025358200073242,26.799610137939453,25.308612823486328,32.620670318603516,5672.0
2012-09-05,20.460512161254883,81.23999786376953,19145.099609375,61.45685577392578,47.69832992553711,10.02811336517334,25.999757766723633,26.754541397094727,25.197633743286133,32.62905502319336,5657.89990234375
2012-09-06,20.644895553588867,81.08000183105469,7400.0,62.8211669921875,48.70341873168945,10.266246795654297,26.580184936523438,27.085124969482422,25.48200035095215,33.14870834350586,5777.2998046875
2012-09-07,20.772199630737305,80.25,7400.0,62.73080062866211,49.546627044677734,10.372086524963379,26.537494659423828,26.86724090576172,25.398759841918945,33.13193893432617,5794.7998046875
2012-09-10,20.231857299804688,80.36000061035156,19827.19921875,61.92668533325195,49.33076477050781,10.286090850830078,26.25582504272461,26.837182998657227,25.37103843688965,33.01460647583008,5793.2001953125
2012-09-11,20.166221618652344,79.86000061035156,19857.900390625,61.827301025390625,49.85693359375,10.372086524963379,26.324108123779297,26.754541397094727,25.308612823486328,33.0313606262207,5792.2001953125
2012-09-12,20.44707679748535,79.73999786376953,20075.400390625,62.007999420166016,50.16047286987305,10.411772727966309,26.469215393066406,26.611780166625977,25.16295051574707,33.04811477661133,5782.10009765625
2012-09-13,20.849740982055664,79.26000213623047,20047.599609375,62.84827423095703,50.9766960144043,10.682984352111816,26.827716827392578,27.085124969482422,25.516681671142578,33.38337326049805,5819.89990234375
2012-09-14,21.10311508178711,78.8499984741211,20629.80078125,63.40842819213867,51.651283264160156,10.768974304199219,26.955747604370117,26.882261276245117,25.343278884887695,33.24928283691406,5915.60009765625
2012-09-17,21.36259651184082,79.01000213623047,20658.099609375,63.43557357788086,51.260013580322266,10.669754981994629,26.981361389160156,26.957393646240234,25.183761596679688,33.442054748535156,5893.5
2012-09-18,21.427623748779297,79.25,7000.0,63.4897575378418,50.89576721191406,10.616833686828613,26.99842643737793,27.107664108276367,25.10747528076172,33.55101776123047,5868.2001953125
2012-09-19,21.433420181274414,79.05999755859375,20841.900390625,63.60724639892578,50.4033203125,10.610220909118652,27.024038314819336,27.18278694152832,25.13520622253418,33.584529876708984,5888.5
